,carat,cut,color,clarity,depth,table,price,x,y,z
0,0.4,Ideal,J,VS1,62.2,54.3,658,4.73,4.75,2.95
1,0.4,Ideal,E,VS2,62.4,55.0,912,4.71,4.74,2.95
2,1.52,Very Good,H,SI1,62.5,58.0,10145,7.28,7.34,4.57
3,1.24,Very Good,G,SI1,61.8,58.0,7106,6.9,6.96,4.28
4,1.0,Premium,F,VS1,62.6,58.0,7244,6.4,6.37,4.0
5,0.41,Ideal,G,VVS2,61.7,55.0,1199,4.81,4.85,2.98
6,0.52,Good,E,VS2,64.3,56.0,1625,5.02,5.14,3.27
7,0.9,Premium,E,SI1,60.8,59.0,4385,6.24,6.19,3.78
8,0.71,Ideal,H,VVS1,62.1,54.0,2918,5.7,5.76,3.56
9,1.01,Good,E,SI2,58.7,63.0,4685,6.52,6.6,3.85
10,0.81,Very Good,F,SI2,63.2,58.0,2843,5.91,5.92,3.74
11,1.51,Premium,I,SI2,60.4,56.0,7577,7.4,7.36,4.46
12,0.53,Ideal,G,VVS2,60.4,56.0,2051,5.29,5.24,3.18
13,1.51,Very Good,E,SI2,63.3,58.0,7737,7.19,7.16,4.54
14,0.31,Good,F,VS2,64.2,59.0,744,4.3,4.23,2.74
15,0.7,Very Good,D,SI1,62.4,57.0,3075,5.64,5.67,3.53
16,2.11,Premium,H,SI2,60.9,59.0,12633,8.3,8.25,5.04
17,1.01,Premium,J,SI2,61.7,58.0,3499,6.4,6.44,3.96
18,1.21,Ideal,I,VVS1,61.6,55.0,7086,6.88,6.8,4.21
19,0.7,Very Good,D,VS2,59.7,59.0,2999,5.82,5.78,3.46
20,1.0,Good,D,SI2,64.3,53.0,3965,6.34,6.29,4.06
21,0.4,Ideal,D,SI1,63.0,57.0,924,4.7,4.66,2.95
22,2.0,Ideal,H,SI2,61.5,57.0,12587,8.04,8.0,4.93
23,0.53,Ideal,H,VVS1,61.2,56.0,1842,5.25,5.27,3.22
24,1.02,Very Good,F,SI2,62.0,59.0,4162,6.33,6.42,3.95
25,0.31,Ideal,G,IF,61.6,55.0,891,4.37,4.39,2.7
26,1.09,Very Good,F,VS1,62.9,58.0,7598,6.51,6.55,4.11
27,0.31,Good,H,VS2,63.1,57.0,489,4.28,4.31,2.71
28,0.3,Premium,G,VVS2,62.0,58.0,878,4.29,4.26,2.65
29,1.52,Premium,H,SI1,60.1,60.0,10330,7.47,7.45,4.48
30,0.35,Good,D,SI2,63.3,55.0,522,4.45,4.49,2.83
31,0.76,Ideal,G,VS2,61.5,55.0,3183,5.92,5.88,3.63
32,1.3,Premium,I,VS2,60.1,58.0,6442,7.1,7.14,4.28
33,0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55
34,1.01,Ideal,F,VS2,61.2,58.0,7409,6.45,6.43,3.94
35,0.83,Premium,G,SI2,62.9,57.0,2386,5.99,5.96,3.76
36,1.21,Ideal,G,VVS1,60.2,57.0,10232,7.02,6.94,4.2
37,0.3,Good,E,VVS2,61.1,61.0,622,4.32,4.36,2.65
38,0.3,Ideal,F,IF,61.8,55.0,873,4.31,4.33,2.67
39,0.34,Premium,H,VS1,61.3,56.0,765,4.53,4.48,2.76
40,1.25,Premium,G,SI2,62.8,57.0,4991,6.86,6.78,4.28
41,0.7,Ideal,E,VVS2,61.6,56.0,4205,5.72,5.75,3.53
42,0.33,Ideal,F,,62.2,56.0,810,4.43,4.45,2.76
43,0.3,Ideal,I,VVS1,62.1,56.0,709,4.33,4.3,2.68
44,0.51,Ideal,D,SI2,59.8,55.0,1359,5.23,5.17,3.11
45,0.39,Ideal,H,VVS2,61.9,54.0,911,4.7,4.73,2.92
46,0.36,Ideal,D,VS2,61.8,55.0,800,4.58,4.61,2.84
47,0.5,Very Good,I,SI1,62.2,60.0,1048,5.02,5.05,3.13
